,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres
681564,1924,2025,2,974695774,F,56,6,90630,Lolita (1997),Drama|Romance
626769,5438,1179,4,959998124,M,25,14,60048,"Grifters, The (1990)",Crime|Drama|Film-Noir
638637,5140,446,4,962058109,M,25,6,35205,Farewell My Concubine (1993),Drama|Romance
884724,4217,159,4,966189136,M,18,4,18042,Clockers (1995),Drama
573170,2546,3362,4,974041277,F,56,13,37931,Dog Day Afternoon (1975),Comedy|Crime|Drama
326535,3351,3717,4,967746598,F,18,5,92870,Gone in 60 Seconds (2000),Action|Crime
258037,1640,1912,5,974717086,M,35,17,95610,Out of Sight (1998),Action|Crime|Romance
489650,1854,858,4,1028506979,M,25,0,92346,"Godfather, The (1972)",Action|Crime|Drama
699190,4749,3082,3,963199846,M,45,0,23462,"World Is Not Enough, The (1999)",Action|Thriller
446458,2634,671,3,973787268,M,56,1,15701,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
213606,3964,2951,4,965668989,M,56,16,66502,"Fistful of Dollars, A (1964)",Action|Western
779847,1687,432,3,974712060,M,25,3,85013,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western
619344,3689,1672,3,966312168,M,25,0,80906,"Rainmaker, The (1997)",Drama
341410,62,1088,3,977967906,F,35,3,98105,Dirty Dancing (1987),Musical|Romance
200087,3001,1266,5,970618577,M,18,4,94704,Unforgiven (1992),Western
330234,4079,3508,5,965445143,M,35,17,26505,"Outlaw Josey Wales, The (1976)",Western
45215,1749,1962,1,974839870,M,25,2,10040,Driving Miss Daisy (1989),Drama
131420,453,1552,4,976244694,M,18,4,55102,Con Air (1997),Action|Adventure|Thriller
630300,695,247,5,975603212,F,18,1,04240,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller
225971,5695,1240,2,958592210,F,35,3,21221,"Terminator, The (1984)",Action|Sci-Fi|Thriller
645863,2627,2454,3,973627812,M,25,1,06877,"Fly, The (1958)",Horror|Sci-Fi
567707,608,3146,3,975866607,M,18,4,18011,Deuce Bigalow: Male Gigolo (1999),Comedy
642651,216,2010,4,976868995,M,45,13,52761,Metropolis (1926),Sci-Fi
739340,258,11,5,976671824,M,25,7,55436,"American President, The (1995)",Comedy|Drama|Romance
934988,1163,3299,2,974863078,M,1,10,70448,Hanging Up (2000),Comedy|Drama
902437,563,2038,3,976046466,M,25,4,53703,"Cat from Outer Space, The (1978)",Children's|Comedy|Sci-Fi
969871,3029,670,5,970361944,M,18,4,92037,"World of Apu, The (Apur Sansar) (1959)",Drama
271979,3444,1923,1,967304785,M,50,14,33401,There's Something About Mary (1998),Comedy
474295,5327,1374,5,961101168,M,25,7,55408,Star Trek: The Wrath of Khan (1982),Action|Adventure|Sci-Fi
573151,2406,3362,5,974258996,F,56,12,01520,Dog Day Afternoon (1975),Comedy|Crime|Drama
130124,3643,1196,4,967671993,M,25,17,22302,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War
